波長,ハロゲン
380,0.00064908
381,0.00064908
382,0.00064908
383,0.000700318
384,0.000803108
385,0.000957359
386,0.00110536
387,0.001246803
388,0.001415834
389,0.001671727
390,0.002014515
391,0.002361541
392,0.002646466
393,0.002873967
394,0.003113826
395,0.003379579
396,0.003646912
397,0.003880369
398,0.004079986
399,0.004225132
400,0.004329396
401,0.00441474
402,0.004556194
403,0.004754501
404,0.00497434
405,0.005177622
406,0.005361339
407,0.005527947
408,0.00568077
409,0.005874524
410,0.006150307
411,0.006505703
412,0.006847661
413,0.007146021
414,0.007405546
415,0.007670156
416,0.007939825
417,0.008284385
418,0.008708254
419,0.009173776
420,0.009537412
421,0.009792173
422,0.010014884
423,0.01028763
424,0.010602354
425,0.010892505
426,0.011147254
427,0.011411543
428,0.01173051
429,0.012106253
430,0.012517587
431,0.012946731
432,0.013348423
433,0.013676156
434,0.013937638
435,0.014355367
436,0.014960208
437,0.015682035
438,0.016279955
439,0.016753938
440,0.017199591
441,0.017679269
442,0.01817013
443,0.018609954
444,0.018997689
445,0.01940445
446,0.019863862
447,0.020417239
448,0.021079633
449,0.021846649
450,0.022540236
451,0.023078004
452,0.023513227
453,0.024074759
454,0.024781621
455,0.025496419
456,0.026113244
457,0.026643842
458,0.027193862
459,0.027777005
460,0.028434867
461,0.029154903
462,0.029920693
463,0.030650174
464,0.031334552
465,0.032009212
466,0.032705386
467,0.033461059
468,0.03431596
469,0.03526739
470,0.036200479
471,0.037049347
472,0.037823793
473,0.038613267
474,0.039425016
475,0.040233533
476,0.041025746
477,0.041842508
478,0.042739442
479,0.043715047
480,0.044683975
481,0.045606357
482,0.046493388
483,0.047396142
484,0.048317588
485,0.049266878
486,0.050237665
487,0.051239609
488,0.052259922
489,0.05332569
490,0.054503903
491,0.055788926
492,0.057038538
493,0.058147707
494,0.059132527
495,0.060133221
496,0.061175177
497,0.06236543
498,0.063683354
499,0.065074198
500,0.066369003
501,0.067561179
502,0.068691419
503,0.069805725
504,0.070895556
505,0.071970958
506,0.073073288
507,0.074303582
508,0.075665822
509,0.077126869
510,0.078597028
511,0.080077923
512,0.081562611
513,0.083038278
514,0.084424286
515,0.085719132
516,0.08689572
517,0.088020029
518,0.089194574
519,0.09063331
520,0.092349302
521,0.094233465
522,0.096111007
523,0.097901598
524,0.099564491
525,0.10109743
526,0.102574647
527,0.104043643
528,0.105682948
529,0.107516228
530,0.109507675
531,0.111452368
532,0.113321987
533,0.115112075
534,0.116851062
535,0.118528086
536,0.12018011
537,0.121902607
538,0.123800041
539,0.125868999
540,0.127988178
541,0.130074734
542,0.13209702
543,0.134075616
544,0.13604798
545,0.138081511
546,0.140189591
547,0.142359842
548,0.144563077
549,0.146882068
550,0.149298072
551,0.151662519
552,0.153798596
553,0.15572537
554,0.157641367
555,0.159639459
556,0.161854983
557,0.164238092
558,0.166755833
559,0.169239335
560,0.171644008
561,0.173946048
562,0.176172102
563,0.178441659
564,0.180804526
565,0.183314025
566,0.185900938
567,0.188472652
568,0.190910066
569,0.193345329
570,0.196076335
571,0.199095319
572,0.201947643
573,0.204427914
574,0.206758512
575,0.209274442
576,0.211921032
577,0.214503176
578,0.217096329
579,0.219882488
580,0.222863591
581,0.225837095
582,0.228675542
583,0.23162789
584,0.234809715
585,0.237970638
586,0.240805273
587,0.243496719
588,0.246457371
589,0.24970967
590,0.252943501
591,0.255994469
592,0.258906679
593,0.261800408
594,0.265078479
595,0.268783138
596,0.272486659
597,0.275646153
598,0.278515736
599,0.281736574
600,0.285355325
601,0.288942022
602,0.292328719
603,0.295772751
604,0.299424281
605,0.303250261
606,0.307089462
607,0.310717079
608,0.314095182
609,0.317339518
610,0.320713658
611,0.324274189
612,0.327926154
613,0.331613064
614,0.335284079
615,0.338962977
616,0.342759634
617,0.346681462
618,0.350633112
619,0.3545319
620,0.358520364
621,0.36264929
622,0.366538027
623,0.370040153
624,0.373553634
625,0.377520064
626,0.381643805
627,0.38541993
628,0.388913102
629,0.392509232
630,0.396292318
631,0.400107932
632,0.403791062
633,0.407262646
634,0.410749672
635,0.414661734
636,0.418942469
637,0.423056962
638,0.42679718
639,0.430629201
640,0.434904643
641,0.439607194
642,0.44440169
643,0.449117233
644,0.453632805
645,0.457771784
646,0.46167994
647,0.465380292
648,0.469116104
649,0.4736964
650,0.479110006
651,0.484637631
652,0.489470305
653,0.493595713
654,0.49769383
655,0.502181528
656,0.507090182
657,0.512054667
658,0.516652168
659,0.5211023
660,0.525773966
661,0.530553983
662,0.535218123
663,0.540063787
664,0.545197551
665,0.550063669
666,0.554392078
667,0.558821057
668,0.563862312
669,0.568964511
670,0.573532119
671,0.577839219
672,0.582450935
673,0.587569328
674,0.592935139
675,0.5983939
676,0.603668812
677,0.608668149
678,0.613489262
679,0.618151222
680,0.622895439
681,0.627914684
682,0.633140419
683,0.638348881
684,0.643455694
685,0.648630647
686,0.65407138
687,0.659733604
688,0.665063814
689,0.669800771
690,0.67435707
691,0.679297332
692,0.684909894
693,0.690724724
694,0.696470929
695,0.702102355
696,0.707960438
697,0.714096752
698,0.720140662
699,0.725821998
700,0.731355682
701,0.73696059
702,0.742516283
703,0.74764024
704,0.752295946
705,0.757110068
706,0.762471432
707,0.76874508
708,0.775169215
709,0.780899488
710,0.785995699
711,0.791174553
712,0.797060034
713,0.803232173
714,0.809174863
715,0.815023677
716,0.821247303
717,0.827767543
718,0.833850673
719,0.8392155
720,0.844098245
721,0.849562467
722,0.855824164
723,0.862267456
724,0.8684055
725,0.873862776
726,0.879193864
727,0.885006671
728,0.891317638
729,0.897934906
730,0.903994568
731,0.909357561
732,0.91491243
733,0.921056858
734,0.927569212
735,0.933946348
736,0.940602424
737,0.947253672
738,0.953286319
739,0.95883802
740,0.964577118
741,0.970633268
742,0.976326261
743,0.981570398
744,0.987316288
745,0.993851186
746,1.00112272
747,1.008070878
748,1.014142716
749,1.02020091
750,1.026768431
